recording_a,recording_b,category,euclidean_distance,cosine_similarity
PedNYC1_scenario3,PedNYC19_scenario21,different_scenario_different_participant,7.64744356026955,0.03449768289608823
PedNYC1_scenario3,PedNYC20_scenario12,different_scenario_different_participant,3.529555155733597,0.3892951476591562
PedNYC1_scenario3,PedNYC20_scenario15,different_scenario_different_participant,4.040030388567665,0.2293924944905985
PedNYC1_scenario3,PedNYC20_scenario16,different_scenario_different_participant,4.675996692261409,0.12435216979193964
PedNYC1_scenario3,PedNYC20_scenario21,different_scenario_different_participant,4.085614400762393,0.09976415526164417
PedNYC1_scenario3,PedNYC21_scenario3,same_scenario_different_participant,4.461260362224618,-0.2371511084191107
PedNYC1_scenario3,PedNYC21_scenario7,different_scenario_different_participant,3.0084588097299916,0.5065658082403611
PedNYC1_scenario3,PedNYC21_scenario12,different_scenario_different_participant,4.320003373988543,-0.14823838202364348
PedNYC1_scenario3,PedNYC22_scenario3,same_scenario_different_participant,3.7304664734574327,0.15092411850837617
PedNYC1_scenario3,PedNYC22_scenario7,different_scenario_different_participant,5.178546720620371,-0.022546126777815756
PedNYC1_scenario3,PedNYC22_scenario12,different_scenario_different_participant,4.0359605014650946,0.09586415941690929
PedNYC1_scenario3,PedNYC22_scenario15,different_scenario_different_participant,4.644406318650716,-0.2246254963130785
PedNYC1_scenario3,PedNYC22_scenario16,different_scenario_different_participant,4.946722907307505,-0.21068061929704407
PedNYC1_scenario3,PedNYC22_scenario21,different_scenario_different_participant,5.489702804315803,-0.43704021634057977
PedNYC1_scenario3,PedNYC23_scenario3,same_scenario_different_participant,3.8039568407435587,0.09410058628516582
PedNYC1_scenario3,PedNYC23_scenario7,different_scenario_different_participant,6.679086593652273,-0.15064434798860882
PedNYC1_scenario3,PedNYC23_scenario12,different_scenario_different_participant,7.078753731245642,-0.5085228569876337
PedNYC1_scenario3,PedNYC23_scenario15,different_scenario_different_participant,5.292217083752524,-0.24903559797889407
PedNYC1_scenario3,PedNYC23_scenario16,different_scenario_different_participant,3.464104070261321,0.3858111552370995
PedNYC1_scenario3,PedNYC23_scenario21,different_scenario_different_participant,2.8404120185250568,0.6024346242918157
PedNYC1_scenario3,PedNYC24_scenario3,same_scenario_different_participant,2.561748373658865,0.6816152454205426
PedNYC1_scenario3,PedNYC24_scenario12,different_scenario_different_participant,4.877675056263606,-0.12099425595035473
