participant_id,recording_identifier,scenario,progress_percent,ped_x,ped_z,veh_x,veh_z
PedNYC27,PedNYC27_scenario21,21,100.0,-2.313873529434204,51.49712371826172,-1.768061637878418,58.40958404541016
PedNYC28,PedNYC28_scenario21,21,0.0,-1.9091508388519287,70.08854675292969,2.7486586570739746,93.92860412597656
PedNYC28,PedNYC28_scenario21,21,1.0,-1.9249435620394957,70.01310165806589,2.7240822928030286,93.1405075213703
PedNYC28,PedNYC28_scenario21,21,2.0,-1.9425040282567623,69.91189043421323,2.7005031193136495,92.34410261550923
PedNYC28,PedNYC28_scenario21,21,3.0,-1.9537907606263354,69.78914199487544,2.6778837651673935,91.53737988420177
PedNYC28,PedNYC28_scenario21,21,4.0,-1.9580505649970616,69.6538683647674,2.656212882351416,90.7226078390977
PedNYC28,PedNYC28_scenario21,21,5.0,-1.9467743331611957,69.48509615917047,2.635461729749519,89.89773324549947
PedNYC28,PedNYC28_scenario21,21,6.0,-1.9323423027827775,69.30570551861014,2.6157316824354364,89.06533232453981
PedNYC28,PedNYC28_scenario21,21,7.0,-1.9289859197332655,69.12733204505265,2.5970208711657037,88.22389932317205
PedNYC28,PedNYC28_scenario21,21,8.0,-1.9359831276279857,68.93846003514226,2.57943129733112,87.37591981768482
PedNYC28,PedNYC28_scenario21,21,9.0,-1.9401411673045192,68.72947051205448,2.562965953394931,86.5209712143209
PedNYC28,PedNYC28_scenario21,21,10.0,-1.9290402335014747,68.53203582995762,2.547618615395997,85.65801029998451
PedNYC28,PedNYC28_scenario21,21,11.0,-1.9030954303264136,68.33149814624902,2.5331726448228906,84.78943819825078
PedNYC28,PedNYC28_scenario21,21,12.0,-1.8690451018924716,68.14887265476492,2.5193072700150982,83.9131916332985
PedNYC28,PedNYC28_scenario21,21,13.0,-1.8412561322653145,67.9298095086019,2.5061338469943197,83.03188336119908
PedNYC28,PedNYC28_scenario21,21,14.0,-1.8345945333970788,67.71473806249463,2.4936527490591858,82.14360055712386
PedNYC28,PedNYC28_scenario21,21,15.0,-1.8412952696976106,67.47964997996519,2.4819036983896563,81.2509507311479
PedNYC28,PedNYC28_scenario21,21,16.0,-1.8370838899732125,67.24632263914589,2.4708754279091063,80.35196868940344
PedNYC28,PedNYC28_scenario21,21,17.0,-1.8164529116967862,67.03591794623901,2.4603304438309688,79.44937426058578
PedNYC28,PedNYC28_scenario21,21,18.0,-1.7882233277656248,66.84561799256889,2.449420644225112,78.54264217210041
PedNYC28,PedNYC28_scenario21,21,19.0,-1.7558981308482942,66.6080115893573,2.438499416481824,77.65193407004439
PedNYC28,PedNYC28_scenario21,21,20.0,-1.7451919509063132,66.38670161376,2.427637574458426,76.78923721028387
PedNYC28,PedNYC28_scenario21,21,21.0,-1.746001256823003,66.14805520556125,2.4167757471722298,75.96048994251831
PedNYC28,PedNYC28_scenario21,21,22.0,-1.7514514963683847,65.93333062792891,2.405960278593423,75.16267214745305
PedNYC28,PedNYC28_scenario21,21,23.0,-1.754428287671537,65.7251915005659,2.395457379565255,74.41134151306876
PedNYC28,PedNYC28_scenario21,21,24.0,-1.7567746872330228,65.50386384646343,2.385657573698481,73.72552103702895
PedNYC28,PedNYC28_scenario21,21,25.0,-1.7537613345283858,65.2869690483165,2.376701428856648,73.11217321028732
PedNYC28,PedNYC28_scenario21,21,26.0,-1.7545132811022843,65.05543520231474,2.3687446612152994,72.57759397369215
