pednyc_number,scenario_number,recording_identifier,source_csv_path,availability_status,processing_status,failure_exclusion_reason
24,21,PedNYC24_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc24\scenario21\decoded_clean_PedNYC24_scenario21.csv,available,success,
25,3,PedNYC25_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc25\scenario3\decoded_clean_PedNYC25_scenario3.csv,available,success,
25,7,PedNYC25_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc25\scenario7\decoded_clean_PedNYC25_scenario7.csv,available,success,
25,12,,,missing,not_applicable,No decoded CSV found in inventory
25,15,PedNYC25_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc25\scenario15\decoded_clean_PedNYC25_scenario15.csv,available,success,
25,16,PedNYC25_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc25\scenario16\decoded_clean_PedNYC25_scenario16.csv,available,success,
25,21,PedNYC25_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc25\scenario21\decoded_clean_PedNYC25_scenario21.csv,available,success,
26,3,PedNYC26_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc26\scenario3\decoded_clean_PedNYC26_scenario3.csv,available,success,
26,7,PedNYC26_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc26\scenario7\decoded_clean_PedNYC26_scenario7.csv,available,success,
26,12,PedNYC26_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc26\scenario12\decoded_clean_PedNYC26_scenario12.csv,available,success,
26,15,PedNYC26_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc26\scenario15\decoded_clean_PedNYC26_scenario15.csv,available,success,
26,16,PedNYC26_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc26\scenario16\decoded_clean_PedNYC26_scenario16.csv,available,success,
26,21,PedNYC26_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc26\scenario21\decoded_clean_PedNYC26_scenario21.csv,available,success,
27,3,,,missing,not_applicable,No decoded CSV found in inventory
27,7,,,missing,not_applicable,No decoded CSV found in inventory
27,12,,,missing,not_applicable,No decoded CSV found in inventory
27,15,,,missing,not_applicable,No decoded CSV found in inventory
27,16,,,missing,not_applicable,No decoded CSV found in inventory
27,21,PedNYC27_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc27\scenario21\decoded_clean_PedNYC27_scenario21.csv,available,success,
28,3,PedNYC28_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc28\scenario3\decoded_clean_PedNYC28_scenario3.csv,available,success,
28,7,PedNYC28_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc28\scenario7\decoded_clean_PedNYC28_scenario7.csv,available,success,
28,12,PedNYC28_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc28\scenario12\decoded_clean_PedNYC28_scenario12.csv,available,success,
28,15,PedNYC28_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc28\scenario15\decoded_clean_PedNYC28_scenario15.csv,available,success,
28,16,PedNYC28_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc28\scenario16\decoded_clean_PedNYC28_scenario16.csv,available,success,
28,21,PedNYC28_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc28\scenario21\decoded_clean_PedNYC28_scenario21.csv,available,success,
