"pednyc","scenario","source_path","destination_path","file_size_bytes","copy_status"
"PedNYC3","Practice","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC3\CSV_Scenario-Practice_Session-temp_2024-02-23-14-25-32_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenarioPractice\CSV_Scenario-Practice_Session-temp_2024-02-23-14-25-32_decoded.csv","59485814","copied"
"PedNYC4","101","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC4\CSV_Scenario-Ped-101_Session-temp_2024-02-26-14-37-36_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario101\decoded_clean_PedNYC4_scenario101.csv","16406975","copied"
"PedNYC4","102","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC4\CSV_Scenario-Ped-102_Session-temp_2024-02-26-14-57-24_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario102\decoded_clean_PedNYC4_scenario102.csv","16933824","copied"
"PedNYC4","103","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC4\CSV_Scenario-Ped-103_Session-temp_2024-02-26-14-41-18_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario103\decoded_clean_PedNYC4_scenario103.csv","11908489","copied"
"PedNYC4","104","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC4\CSV_Scenario-Ped-104_Session-temp_2024-02-26-15-17-15_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario104\decoded_clean_PedNYC4_scenario104.csv","13048242","copied"
"PedNYC4","105","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC4\CSV_Scenario-Ped-105_Session-temp_2024-02-26-14-48-39_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario105\decoded_clean_PedNYC4_scenario105.csv","14084668","copied"
"PedNYC4","106","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC4\CSV_Scenario-Ped-106_Session-temp_2024-02-26-15-24-53_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario106\decoded_clean_PedNYC4_scenario106.csv","12967325","copied"
"PedNYC4","12","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC4\CSV_Scenario-Ped-12_Session-temp_2024-02-26-15-22-47_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario12\decoded_clean_PedNYC4_scenario12.csv","8634909","copied"
"PedNYC4","15","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC4\CSV_Scenario-Ped-15_Session-temp_2024-02-26-15-19-29_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario15\decoded_clean_PedNYC4_scenario15.csv","16345106","copied"
"PedNYC4","16","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC4\CSV_Scenario-Ped-16_Session-temp_2024-02-26-15-00-22_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario16\decoded_clean_PedNYC4_scenario16.csv","9925690","copied"
"PedNYC4","21","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC4\CSV_Scenario-Ped-21_Session-temp_2024-02-26-14-53-16_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario21\decoded_clean_PedNYC4_scenario21.csv","18510558","copied"
"PedNYC4","3","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC4\CSV_Scenario-Ped-3_Session-temp_2024-02-26-15-11-13_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario3\decoded_clean_PedNYC4_scenario3.csv","17345899","copied"
"PedNYC4","7","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC4\CSV_Scenario-Ped-7_Session-temp_2024-02-26-15-14-20_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario7\decoded_clean_PedNYC4_scenario7.csv","12498459","copied"
"PedNYC4","Practice","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC4\CSV_Scenario-Practice_Session-temp_2024-02-26-14-16-14_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenarioPractice\CSV_Scenario-Practice_Session-temp_2024-02-26-14-16-14_decoded.csv","141890681","copied"
"PedNYC4","Practice","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC4\CSV_Scenario-Practice_Session-temp_2024-02-26-14-31-44_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenarioPractice\CSV_Scenario-Practice_Session-temp_2024-02-26-14-31-44_decoded.csv","69655793","copied"
"PedNYC5","101","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC5\CSV_Scenario-Ped-101_Session-temp_2024-02-27-10-52-59_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario101\decoded_clean_PedNYC5_scenario101.csv","15028544","copied"
"PedNYC5","102","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC5\CSV_Scenario-Ped-102_Session-temp_2024-02-27-11-31-18_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario102\decoded_clean_PedNYC5_scenario102.csv","8954929","copied"
"PedNYC5","103","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC5\CSV_Scenario-Ped-103_Session-temp_2024-02-27-11-03-02_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario103\decoded_clean_PedNYC5_scenario103.csv","9649515","copied"
"PedNYC5","104","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC5\CSV_Scenario-Ped-104_Session-temp_2024-02-27-11-12-39_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario104\decoded_clean_PedNYC5_scenario104.csv","18059626","copied"
"PedNYC5","105","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC5\CSV_Scenario-Ped-105_Session-temp_2024-02-27-11-34-12_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario105\decoded_clean_PedNYC5_scenario105.csv","10450158","copied"
"PedNYC5","106","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC5\CSV_Scenario-Ped-106_Session-temp_2024-02-27-11-42-55_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario106\decoded_clean_PedNYC5_scenario106.csv","18516647","copied"
"PedNYC5","12","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC5\CSV_Scenario-Ped-12_Session-temp_2024-02-27-10-57-58_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario12\decoded_clean_PedNYC5_scenario12.csv","9450685","copied"
"PedNYC5","15","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC5\CSV_Scenario-Ped-15_Session-temp_2024-02-27-11-06-21_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario15\decoded_clean_PedNYC5_scenario15.csv","15910286","copied"
"PedNYC5","16","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC5\CSV_Scenario-Ped-16_Session-temp_2024-02-27-11-36-46_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario16\decoded_clean_PedNYC5_scenario16.csv","12653728","copied"
