recording_identifier,scenario_number,aligned_time,interpolated_speed
PedNYC15_scenario12,12,15.399999999999928,0.4119135562205296
PedNYC15_scenario12,12,15.499999999999929,0.4326789726976446
PedNYC15_scenario12,12,15.599999999999927,0.4097166499767292
PedNYC15_scenario12,12,15.699999999999925,0.36954425625536275
PedNYC15_scenario12,12,15.799999999999926,0.3674051803713694
PedNYC15_scenario12,12,15.899999999999928,0.3653463644116688
PedNYC15_scenario12,12,15.999999999999925,0.43457706886847985
PedNYC15_scenario12,12,16.099999999999923,0.5372649933366324
PedNYC15_scenario12,12,16.199999999999925,0.635259011583231
PedNYC15_scenario12,12,16.299999999999926,0.760562966195463
PedNYC15_scenario12,12,16.399999999999924,0.7930258241775335
PedNYC15_scenario12,12,16.499999999999922,0.8191016994201139
PedNYC15_scenario12,12,16.599999999999923,0.7812789848460897
PedNYC15_scenario12,12,16.699999999999925,0.7443094531860104
PedNYC15_scenario12,12,16.799999999999923,0.7668774403165363
PedNYC15_scenario12,12,16.89999999999992,0.6975186842466146
PedNYC15_scenario12,12,16.999999999999922,0.7873197202786794
PedNYC15_scenario12,12,17.099999999999923,0.7711999843870146
PedNYC15_scenario12,12,17.19999999999992,0.8637160633631836
PedNYC15_scenario12,12,17.29999999999992,1.0025695657513025
PedNYC15_scenario12,12,17.39999999999992,0.9391034233388423
PedNYC15_scenario12,12,17.499999999999922,1.1105517300601717
PedNYC15_scenario12,12,17.59999999999992,1.0864804109533197
PedNYC15_scenario12,12,17.699999999999918,1.2011654228088064
PedNYC15_scenario12,12,17.79999999999992,1.3631975210370677
PedNYC15_scenario12,12,17.89999999999992,1.2379277680434209
PedNYC15_scenario12,12,17.99999999999992,1.2070625628004032
PedNYC15_scenario12,12,18.099999999999916,1.2865221089733148
PedNYC15_scenario12,12,18.199999999999918,1.229135514368658
PedNYC15_scenario12,12,18.29999999999992,1.2711063037356942
PedNYC15_scenario12,12,18.399999999999917,1.1845216800509377
PedNYC15_scenario12,12,18.499999999999915,1.0989592618940411
PedNYC15_scenario12,12,18.599999999999916,1.0328118751173534
PedNYC15_scenario12,12,18.699999999999918,1.0837244529415329
PedNYC15_scenario12,12,18.799999999999915,1.1631684483694802
PedNYC15_scenario12,12,18.899999999999913,1.1568781422789693
PedNYC15_scenario12,12,18.999999999999915,1.1458626314522944
PedNYC15_scenario12,12,19.099999999999916,1.0869349881077561
PedNYC15_scenario12,12,19.199999999999914,1.066402798864555
PedNYC15_scenario12,12,19.299999999999912,1.048367210443576
PedNYC15_scenario12,12,19.399999999999913,1.0497341448659736
PedNYC15_scenario12,12,19.499999999999915,1.0556202927838576
PedNYC15_scenario12,12,19.599999999999913,0.9782991873597162
PedNYC15_scenario12,12,19.69999999999991,0.8435359184777526
PedNYC15_scenario12,12,19.799999999999912,0.8487186669812133
PedNYC15_scenario12,12,19.899999999999913,0.7675092967140641
PedNYC15_scenario12,12,19.99999999999991,0.8127845725011318
PedNYC15_scenario12,12,20.09999999999991,0.7849537326819297
PedNYC15_scenario12,12,20.19999999999991,0.8398539258054452
PedNYC15_scenario12,12,20.299999999999912,0.8814556315589548
PedNYC15_scenario12,12,20.39999999999991,0.895589726201656
PedNYC15_scenario12,12,20.499999999999908,0.9453836679890176
PedNYC15_scenario12,12,20.59999999999991,0.8519955711899144
PedNYC15_scenario12,12,20.69999999999991,0.8220001018641006
PedNYC15_scenario12,12,20.79999999999991,0.7380971007633675
PedNYC15_scenario12,12,20.899999999999906,0.748832953674308
PedNYC15_scenario12,12,20.999999999999908,0.738754422276353
PedNYC15_scenario12,12,21.09999999999991,0.6538532936025692
PedNYC15_scenario12,12,21.199999999999907,0.6877694747362332
PedNYC15_scenario12,12,21.299999999999905,0.6453139865654292
PedNYC15_scenario12,12,21.399999999999906,0.6295892831503702
PedNYC15_scenario12,12,21.499999999999908,0.7549699777982879
PedNYC15_scenario12,12,21.599999999999905,0.721901966438887
PedNYC15_scenario12,12,21.699999999999903,0.7160237433127168
PedNYC15_scenario12,12,21.799999999999905,0.7425947613936462
PedNYC15_scenario12,12,21.899999999999906,0.6223962235259036
PedNYC15_scenario12,12,21.999999999999904,0.6424301984753662
PedNYC15_scenario12,12,22.099999999999902,0.6048953145693041
PedNYC15_scenario12,12,22.199999999999903,0.5893969660028823
PedNYC15_scenario12,12,22.299999999999905,0.6331793602830027
PedNYC15_scenario12,12,22.399999999999903,0.557337462078153
PedNYC15_scenario12,12,22.4999999999999,0.514005888008914
PedNYC15_scenario12,12,22.599999999999902,0.47470256073250694
PedNYC15_scenario12,12,22.699999999999903,0.3573021968315617
PedNYC15_scenario12,12,22.7999999999999,0.29252706791439614
PedNYC15_scenario12,12,22.8999999999999,0.1907066567440581
PedNYC15_scenario12,12,22.9999999999999,0.12697988601398355
PedNYC15_scenario12,12,23.099999999999902,0.07746369091886993
PedNYC15_scenario12,12,23.1999999999999,0.07802844959508566
PedNYC15_scenario12,12,23.299999999999898,0.08660592331727925
PedNYC15_scenario12,12,23.3999999999999,0.099633162943087
PedNYC15_scenario12,12,23.4999999999999,0.11048338931561599
PedNYC15_scenario12,12,23.5999999999999,0.11470005829249535
PedNYC15_scenario12,12,23.699999999999896,0.13068311350662454
PedNYC15_scenario12,12,23.799999999999898,0.16403237461564424
PedNYC15_scenario12,12,23.8999999999999,0.19097790065586345
PedNYC15_scenario12,12,23.999999999999897,0.21650773846915894
PedNYC15_scenario12,12,24.099999999999895,0.23613494931924428
PedNYC15_scenario12,12,24.199999999999896,0.22509212972054232
PedNYC15_scenario12,12,24.299999999999898,0.19702666489227333
PedNYC15_scenario12,12,24.399999999999896,0.15119800827576918
PedNYC15_scenario12,12,24.499999999999893,0.1101274115606797
PedNYC15_scenario12,12,24.599999999999895,0.09769988158205051
PedNYC15_scenario12,12,24.699999999999896,0.10822416349258113
PedNYC15_scenario12,12,24.799999999999894,0.13719582376709452
PedNYC15_scenario12,12,24.899999999999892,0.17268247424054972
PedNYC15_scenario12,12,24.999999999999893,0.1868212511545972
PedNYC15_scenario12,12,25.099999999999895,0.16782110505174508
PedNYC15_scenario12,12,25.199999999999893,0.13231053264557566
PedNYC15_scenario12,12,25.29999999999989,0.10052410673225592
PedNYC15_scenario12,12,25.399999999999892,0.08767751336721089
PedNYC15_scenario12,12,25.499999999999893,0.08875253959378475
PedNYC15_scenario12,12,25.59999999999989,0.0862489300427694
PedNYC15_scenario12,12,25.69999999999989,0.0757883700354078
PedNYC15_scenario12,12,25.79999999999989,0.06961346371015663
PedNYC15_scenario12,12,25.899999999999892,0.06241962271779384
PedNYC15_scenario12,12,25.99999999999989,0.06336152982022432
PedNYC15_scenario12,12,26.099999999999888,0.06423475170424113
PedNYC15_scenario12,12,26.19999999999989,0.05566178303468581
